Timestamp,InitiatedAction,ActionData
06:40.7,Destroyed, Cube (1) at (3.919196E-05 3.000549 10.00304)
06:40.7,Hit, with pistol at (-0.06244637 3.233815 9.936312) using aim style 0
06:43.3,Missed target,
06:43.9,Destroyed, Cube (2) at (-8.065787 3.015593 10.08627)
06:43.9,Hit, with pistol at (-8.087502 3.209791 10.00284) using aim style 0
06:47.4,Destroyed, Cube (3) at (7.947705 2.988083 9.933782)
06:47.4,Hit, with pistol at (7.591813 3.116162 10.15962) using aim style 0
06:49.8,Missed target,
06:50.4,Destroyed, cricular motion at (1.184353 1.759063 29.80848)
06:50.4,Hit, with pistol at (1.655264 1.41867 29.76954) using aim style 0
06:52.8,Missed target,
06:53.5,Destroyed, linear motion at (2.75219 4.311239 29.72807)
06:53.5,Hit, with pistol at (2.729025 4.585735 29.67605) using aim style 0
06:55.8,Destroyed, cricular motion at (-1.159553 1.537599 19.86567)
06:55.8,Hit, with pistol at (-1.564364 1.89799 19.81327) using aim style 0
06:58.2,Destroyed, linear motion at (-3.202682 4.105805 9.244999)
06:58.2,Hit, with pistol at (-3.032185 4.241117 9.230171) using aim style 0
07:00.7,Destroyed, linear motion at (-0.00312996 5.626962 19.54372)
07:00.7,Hit, with pistol at (-0.2310856 5.978582 19.44014) using aim style 0
07:03.0,Destroyed, linear motion at (-0.001994372 8.403528 29.56988)
07:03.0,Hit, with pistol at (0.253492 8.519227 29.51484) using aim style 0
07:05.4,Destroyed, linear motion at (0.005287409 6.456136 10.37709)
