Timestamp,InitiatedAction,ActionData,Id
15:38.2,Hit, with pistol at (-1.278005 2.930358 20.23351) using aim style 1,1
15:40.9,Destroyed, linear motion at (3.895099 4.32668 29.87119),1
15:40.9,Hit, with pistol at (3.40213 4.331857 29.90937) using aim style 1,1
15:46.7,Destroyed, cricular motion at (-0.9659375 3.781323 30.1114),1
15:46.7,Hit, with pistol at (-0.9389358 3.561641 30.10565) using aim style 1,1
16:01.4,Destroyed, Cube (1) at (-0.001071675 3.034952 10.20286),1
16:01.4,Hit, with rifle at (-0.01818669 3.02192 10.17965) using aim style 1,1
16:04.9,Destroyed, Cube (2) at (-8.098011 3.021308 10.12319),1
16:04.9,Hit, with rifle at (-8.071605 2.996359 10.11628) using aim style 1,1
16:08.6,Destroyed, Cube (3) at (8.102779 3.022394 10.13081),1
16:08.6,Hit, with rifle at (8.079658 2.91628 10.13506) using aim style 1,1
16:13.6,Destroyed, linear motion at (-0.0001433492 3.406182 20.11394),1
16:13.6,Hit, with rifle at (-0.1034567 3.201543 20.11033) using aim style 1,1
16:18.2,Destroyed, cricular motion at (-0.8924052 1.396479 10.63744),1
16:18.2,Hit, with rifle at (-0.7172166 1.625316 10.62421) using aim style 1,1
16:21.5,Destroyed, cricular motion at (-0.9327659 1.459461 20.05699),1
16:21.5,Hit, with rifle at (-0.6477786 1.095649 20.04906) using aim style 1,1
16:25.5,Destroyed, linear motion at (-0.0002015233 6.302894 30.21),1
16:25.5,Hit, with rifle at (-0.04890176 6.275845 30.18911) using aim style 1,1
16:28.9,Destroyed, cricular motion at (-0.6412128 3.988374 30.03417),1
16:28.9,Hit, with rifle at (-0.4765769 3.73296 30.03582) using aim style 1,1
16:33.4,Destroyed, linear motion at (-1.87017 4.248507 9.699007),1
16:33.4,Hit, with rifle at (-2.351812 4.120905 9.616138) using aim style 1,1
16:40.2,Destroyed, linear motion at (-2.393961 4.334672 29.94824),1
16:40.2,Hit, with rifle at (-2.70172 4.353608 29.89638) using aim style 1,1
16:48.6,Missed target,,1
16:51.4,Destroyed, linear motion at (-0.004769087 4.94486 11.19539),1
16:51.4,Hit, with rifle at (-0.08662194 5.215196 11.08155) using aim style 1,1
20,,,
